Locus tag	Strand	Chr	Begin	End	Length (bp)	Length (aa)	Gene Name	Start codon	Operon	Product	Description	RAST info.	COG
lmo0001	+	NC_003210.1	318	1673	1356	451	dnaA	GTG	Operon_001	chromosomal replication initiation protein	binds to the dnaA-box as an ATP-bound complex at the origin of replication during the initiation of chromosomal replication  can also affect transcription of multiple genes including itself.	Chromosomal replication initiator protein DnaA	Replication, recombination and repair
lmo0002	+	NC_003210.1	1867	3012	1146	381	dnaN	ATG	Operon_001	DNA polymerase III subunit beta	binds the polymerase to DNA and acts as a sliding clamp	DNA polymerase III beta subunit (EC 2.7.7.7)	Replication, recombination and repair
lmo0003	+	NC_003210.1	3121	4464	1344	447		ATG		hypothetical protein - RAST_Product: FIG00774723: hypothetical protein		FIG00774723: hypothetical protein	Defense/virulence mechanisms
lmo0004	+	NC_003210.1	4644	4865	222	73		TTG	Operon_002	hypothetical protein	similar to B. subtilis YaaA protein	FIG002958: hypothetical protein	Function unknown
lmo0005	+	NC_003210.1	4869	5981	1113	370	recF	ATG	Operon_002	recombination protein F	Required for DNA replication  binds preferentially to single-stranded, linear DNA	DNA recombination and repair protein RecF	Replication, recombination and repair
lmo0006	+	NC_003210.1	6030	7970	1941	646	gyrB	ATG	Operon_002	DNA gyrase subunit B		DNA gyrase subunit B (EC 5.99.1.3)	Replication, recombination and repair
lmo0007	+	NC_003210.1	8065	10593	2529	842	gyrA	ATG	Operon_002	DNA gyrase subunit A		DNA gyrase subunit A (EC 5.99.1.3)	Replication, recombination and repair
lmo0008	+	NC_003210.1	10728	12242	1515	504		ATG	Operon_003	hypothetical protein - RAST_Product: Cardiolipin synthetase (EC 2.7.8.-)	similar to cardiolipin synthase	Cardiolipin synthetase (EC 2.7.8.-)	Lipid transport and metabolism
lmo0009	+	NC_003210.1	12258	12776	519	172		ATG	Operon_003	hypothetical protein - RAST_Product: Spermidine N1-acetyltransferase (EC 2.3.1.57)	similar to spermidine N1-acetyltransferase	Spermidine N1-acetyltransferase (EC 2.3.1.57)	Translation
lmo0010	+	NC_003210.1	12918	13886	969	322		TTG	Operon_004	hypothetical protein - RAST_Product: Mevalonate kinase (EC 2.7.1.36)	similar to mevalonate kinase	Mevalonate kinase (EC 2.7.1.36)	Lipid transport and metabolism
lmo0011	+	NC_003210.1	13843	14814	972	323		ATG	Operon_004	hypothetical protein - RAST_Product: Diphosphomevalonate decarboxylase (EC 4.1.1.33)	similar to mevalonate diphosphate decarboxylase	Diphosphomevalonate decarboxylase (EC 4.1.1.33)	Lipid transport and metabolism
lmo0012	+	NC_003210.1	14795	15874	1080	359		TTG	Operon_004	hypothetical protein - RAST_Product: Phosphomevalonate kinase (EC 2.7.4.2)	similar to mevalonate kinases	Phosphomevalonate kinase (EC 2.7.4.2)	Lipid transport and metabolism
lmo0013	+	NC_003210.1	16219	17325	1107	368	qoxA	GTG	Operon_005	AA3-600 quinol oxidase subunit II		AA3-600 quinol oxidase subunit II	Energy production and conversion
lmo0014	+	NC_003210.1	17344	19323	1980	659	qoxB	ATG	Operon_005	AA3-600 quinol oxidase subunit I		AA3-600 quinol oxidase subunit I	Energy production and conversion
lmo0015	+	NC_003210.1	19311	19922	612	203	qoxC	ATG	Operon_005	AA3-600 quinol oxidase subunit III		AA3-600 quinol oxidase subunit IIII	Energy production and conversion
lmo0016	+	NC_003210.1	19924	20256	333	110	qoxD	ATG	Operon_005	hypothetical protein - RAST_Product: AA3-600 quinol oxidase subunit IV	highly similar to quinol oxidase aa3-600 chain IV	AA3-600 quinol oxidase subunit IV	Energy production and conversion
lmo0017	-	NC_003210.1	20308	21426	1119	372		ATG		hypothetical protein - RAST_Product: Capsule biosynthesis protein capA	similar to Bacillus anthracis CapA protein (polyglutamate capsule biosynthesis)	Capsule biosynthesis protein capA	Cell wall/membrane biogenesis
lmo0018	+	NC_003210.1	21652	23085	1434	477		ATG		beta-glucosidase		Beta-glucosidase (EC 3.2.1.21)  6-phospho-beta-glucosidase (EC 3.2.1.86)	Carbohydrate transport and metabolism
lmo0019	-	NC_003210.1	23132	23953	822	273		ATG		hypothetical protein - RAST_Product: FIG00774048: hypothetical protein	lmo0019	FIG00774048: hypothetical protein	Function unknown
lmo0020	+	NC_003210.1	24194	24934	741	246		ATG	Operon_006	hypothetical protein - RAST_Product: transcriptional regulator, GntR family	similar to transcriptional regulator (GntR family)	transcriptional regulator, GntR family	Transcription
lmo0021	+	NC_003210.1	24950	25351	402	133		TTG	Operon_006	hypothetical protein - RAST_Product: PTS system, IIA component	similar to PTS system, fructose-specific IIA component	PTS system, IIA component	Carbohydrate transport and metabolism
lmo0022	+	NC_003210.1	25351	25839	489	162		ATG	Operon_006	hypothetical protein - RAST_Product: PTS system, mannose-specific IIB component (EC 2.7.1.69) / PTS system, mannose-specific IIA component (EC 2.7.1.69)	similar to PTS system, fructose-specific IIB component	PTS system, mannose-specific IIB component (EC 2.7.1.69) / PTS system, mannose-specific IIA component (EC 2.7.1.69)	Carbohydrate transport and metabolism
lmo0023	+	NC_003210.1	25862	26665	804	267		ATG	Operon_006	hypothetical protein - RAST_Product: PTS system, mannose-specific IIC component (EC 2.7.1.69)	similar to PTS system, fructose-specific IIC component	PTS system, mannose-specific IIC component (EC 2.7.1.69)	Carbohydrate transport and metabolism
lmo0024	+	NC_003210.1	26640	27467	828	275		ATG	Operon_006	hypothetical protein	similar to PTS system, mannose-specific IID component	PTS system, mannose-specific IID component (EC 2.7.1.69)	Carbohydrate transport and metabolism
lmo0025	+	NC_003210.1	27495	28199	705	234		ATG	Operon_006	hypothetical protein - RAST_Product: FIG00774489: hypothetical protein	similar to phosphoheptose isomerase	FIG00774489: hypothetical protein	General function prediction only
lmo0026	+	NC_003210.1	28254	28895	642	213		ATG	Operon_006	hypothetical protein	similar to E. coli copper homeostasis protein CutC	Cytoplasmic copper homeostasis protein cutC	Inorganic ion transport and metabolism
lmo0027	+	NC_003210.1	29100	31004	1905	634		ATG		hypothetical protein - RAST_Product: PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIC component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIA component (EC 2.7.1.69)	similar to PTS system, beta-glucosides specific enzyme IIABC	PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIC component (EC 2.7.1.69) / PTS system, beta-glucoside-specific IIA component (EC 2.7.1.69)	Carbohydrate transport and metabolism
lmo0028	+	NC_003210.1	31088	31963	876	291		ATG		hypothetical protein - RAST_Product: Muramoyltetrapeptide carboxypeptidase (EC 3.4.17.13)	similar to E. coli microcin C7 self-immunity protein (MccF)	Muramoyltetrapeptide carboxypeptidase (EC 3.4.17.13)	Defense/virulence mechanisms
lmo0029	+	NC_003210.1	32197	32535	339	112		ATG		hypothetical protein - RAST_Product: FIG00774140: hypothetical protein	lmo0029	FIG00774140: hypothetical protein	Not in COGs
lmo0030	-	NC_003210.1	32571	33380	810	269		TTG	Operon_007	hypothetical protein - RAST_Product: hydrolase, haloacid dehalogenase-like family		hydrolase, haloacid dehalogenase-like family	General function prediction only
lmo0031	-	NC_003210.1	33397	34452	1056	351		ATG	Operon_007	LacI family transcription regulator		transcriptional regulator LacI family	Transcription
lmo0032	+	NC_003210.1	34654	35619	966	321		TTG		hypothetical protein - RAST_Product: Sugar kinase and transcription regulator (EC 2.7.1.-)	similar to xylose repressor	Sugar kinase and transcription regulator (EC 2.7.1.-)	Transcription; Carbohydrate transport and metabolism;
lmo0033	+	NC_003210.1	35616	38018	2403	800		ATG		hypothetical protein - RAST_Product: glycosyl hydrolase, family 9	similar to endoglucanase	glycosyl hydrolase, family 9	Not in COGs
lmo0034	+	NC_003210.1	38031	39383	1353	450		ATG		hypothetical protein - RAST_Product: PTS system, cellobiose-specific IIC component (EC 2.7.1.69)	similar to PTS system, cellobiose-specific IIC component	PTS system, cellobiose-specific IIC component (EC 2.7.1.69)	Carbohydrate transport and metabolism
lmo0035	+	NC_003210.1	39385	40470	1086	361		ATG		hypothetical protein - RAST_Product: putative glucosamine-fructose-6-phosphate aminotransferase	similar to Glucosamine--fructose-6-phosphate aminotransferase (C-terminal domain)	putative glucosamine-fructose-6-phosphate aminotransferase	Cell wall/membrane biogenesis
lmo0036	+	NC_003210.1	40705	41730	1026	341		ATG		putrescine carbamoyltransferase	similar to ornithine carbamoyltransferase  catalyzes the formation of putrescine from carbamoyl-putrescine during agmatine degradation	Putrescine carbamoyltransferase (EC 2.1.3.6)	Amino acid transport and metabolism
lmo0037	+	NC_003210.1	41803	43188	1386	461		TTG		hypothetical protein - RAST_Product: Agmatine/putrescine antiporter, associated with agmatine catabolism	similar to amino acid transporter	Agmatine/putrescine antiporter, associated with agmatine catabolism	Amino acid transport and metabolism
lmo0038	+	NC_003210.1	43175	44266	1092	363		ATG	Operon_008	agmatine deiminase	Putative agmatine deiminase 1  catalyzes the formation of carbamoylputrescine from agmatine in the arginine decarboxylase pathway of putrescine biosynthesis	Agmatine deiminase (EC 3.5.3.12)	Amino acid transport and metabolism
lmo0039	+	NC_003210.1	44282	45223	942	313		ATG	Operon_008	carbamate kinase	similar to carbamate kinase  catalyzes the reversible synthesis of carbamate and ATP from carbamoyl phosphate and ADP	Carbamate kinase (EC 2.7.2.2)	Amino acid transport and metabolism
lmo0040	+	NC_003210.1	45325	46434	1110	369		ATG		agmatine deiminase	Putative agmatine deiminase 2  catalyzes the formation of carbamoylputrescine from agmatine in the arginine decarboxylase pathway of putrescine biosynthesis	Agmatine deiminase (EC 3.5.3.12)	Amino acid transport and metabolism
lmo0041	+	NC_003210.1	46451	47230	780	259		ATG		hypothetical protein - RAST_Product: phosphosugar-binding protein	conserved hypothetical protein, hypothetical regulator	phosphosugar-binding protein	Transcription
lmo0042	+	NC_003210.1	47335	47994	660	219		GTG		hypothetical protein - RAST_Product: DedA protein	similar to E. coli DedA protein	DedA protein	Function unknown
lmo0043	+	NC_003210.1	48074	49306	1233	410		ATG		arginine deiminase	similar to arginine deiminase  catalyzes the degradation of arginine to citruline and ammonia	Arginine deiminase (EC 3.5.3.6)	Amino acid transport and metabolism
lmo0044	+	NC_003210.1	49585	49878	294	97	rpsF	ATG	Operon_009	30S ribosomal protein S6	binds cooperatively with S18 to the S15-16S complex, allowing platform assembly to continue with S11 and S21	SSU ribosomal protein S6p	Translation
lmo0045	+	NC_003210.1	49934	50470	537	178	ssb	ATG	Operon_009	hypothetical protein - RAST_Product: Single-stranded DNA-binding protein	highly similar to single-strand binding protein (SSB)	Single-stranded DNA-binding protein	Replication, recombination and repair
lmo0046	+	NC_003210.1	50514	50753	240	79	rpsR	ATG	Operon_009	30S ribosomal protein S18	binds as a heterodimer with protein S6 to the central domain of the 16S rRNA  helps stabilize the platform of the 30S subunit	SSU ribosomal protein S18p	Translation
lmo0047	+	NC_003210.1	50907	51518	612	203		ATG		hypothetical protein - RAST_Product: lipoprotein, putative	lmo0047	lipoprotein, putative	Function unknown
lmo0048	+	NC_003210.1	51775	52389	615	204		TTG	Operon_010	putative accessory gene regulator protein	similar to Staphylococcus two-component sensor histidine kinase AgrB  essential for production of a quorum sensing autoinducing peptide	Accessory gene regulator protein B (EC 3.4.-.-)	Posttranslational modification, protein turnover, chaperones; Signal transduction mechanisms; Transcription;
lmo0049	+	NC_003210.1	52373	52534	162	53		ATG	Operon_010	hypothetical protein - RAST_Product: accessory gene regulator protein D, putative	lmo0049	accessory gene regulator protein D, putative	Not in COGs
lmo0050	+	NC_003210.1	52630	53925	1296	431		ATG	Operon_010	hypothetical protein - RAST_Product: Histidine kinase of the competence regulon ComD	similar to sensor histidine kinase (AgrC from Staphylococcus)	Histidine kinase of the competence regulon ComD	Signal transduction mechanisms
lmo0051	+	NC_003210.1	53944	54672	729	242		ATG	Operon_010	hypothetical protein - RAST_Product: Response regulator of the competence regulon ComE	similar to 2-components response regulator protein (AgrA from Staphylococcus)	Response regulator of the competence regulon ComE	Transcription; Signal transduction mechanisms;
lmo0052	+	NC_003210.1	54839	56812	1974	657		ATG	Operon_011	hypothetical protein - RAST_Product: Phosphoesterase, DHH family protein	highly similar to B. subtilis YybT protein	Phosphoesterase, DHH family protein	Signal transduction mechanisms
lmo0053	+	NC_003210.1	56815	57261	447	148	rplI	ATG	Operon_011	50S ribosomal protein L9	in Escherichia coli this protein is wrapped around the base of the L1 stalk	LSU ribosomal protein L9p	Translation
lmo0054	+	NC_003210.1	57286	58638	1353	450	dnaC	GTG	Operon_011	replicative DNA helicase	highly similar to replicative DNA helicases  unwinds double stranded DNA	Replicative DNA helicase (EC 3.6.1.-) [SA14-24]	Replication, recombination and repair
lmo0055	+	NC_003210.1	58897	60189	1293	430	purA	ATG		adenylosuccinate synthetase	highly similar to adenylosuccinate synthetase  catalyzes the formation of N6-(1,2,-dicarboxyethyl)-AMP from L-aspartate, inosine monophosphate and GTP in AMP biosynthesis	Adenylosuccinate synthetase (EC 6.3.4.4)	Nucleotide transport and metabolism
lmo0056	+	NC_003210.1	60506	60799	294	97		ATG		hypothetical protein - RAST_Product: ESAT-6/Esx family secreted protein EsxA/YukE	similar to a small heat shock protein of Clostridium acetobutylicum	ESAT-6/Esx family secreted protein EsxA/YukE	Function unknown
lmo0057	+	NC_003210.1	60948	64154	3207	1068		ATG		hypothetical protein - RAST_Product: Putative secretion accessory protein EsaA/YueB	similar to B. subtilis YueB protein	Putative secretion accessory protein EsaA/YueB	Function unknown
lmo0058	+	NC_003210.1	64144	64659	516	171		ATG		hypothetical protein - RAST_Product: Putative secretion system component EssA	lmo0058	Putative secretion system component EssA	Not in COGs
lmo0059	+	NC_003210.1	64677	64928	252	83		TTG		hypothetical protein - RAST_Product: Putative secretion accessory protein EsaB/YukD	similar to B. subtilis YukD protein	Putative secretion accessory protein EsaB/YukD	Function unknown
lmo0060	+	NC_003210.1	64950	66146	1197	398		ATG		hypothetical protein - RAST_Product: Putative secretion system component EssB/YukC	similar to B. subtilis YukC protein	Putative secretion system component EssB/YukC	Function unknown
lmo0061	+	NC_003210.1	66160	70656	4497	1498		ATG		hypothetical protein - RAST_Product: FtsK/SpoIIIE family protein, putative secretion system component EssC/YukA	highly similar to B. subtilis YukA protein	FtsK/SpoIIIE family protein, putative secretion system component EssC/YukA	Cell cycle control, mitosis and meiosis
lmo0062	+	NC_003210.1	70676	71071	396	131		ATG		hypothetical protein - RAST_Product: Putative EsaC protein analog (Listeria type 1)	lmo0062	Putative EsaC protein analog (Listeria type 1)	Not in COGs
lmo0063	+	NC_003210.1	71064	71363	300	99		ATG		hypothetical protein - RAST_Product: ESAT-6/Esx family secreted protein EsxB	lmo0063	ESAT-6/Esx family secreted protein EsxB	Not in COGs
lmo0064	+	NC_003210.1	71360	72061	702	233		ATG		hypothetical protein - RAST_Product: SAV0291 homolog within ESAT-6 gene cluster	lmo0064	SAV0291 homolog within ESAT-6 gene cluster	Not in COGs
lmo0065	+	NC_003210.1	72062	72394	333	110		ATG		hypothetical protein - RAST_Product: Lmo0065 homolog within ESAT-6 gene cluster	lmo0065	Lmo0065 homolog within ESAT-6 gene cluster	Not in COGs
lmo0066	+	NC_003210.1	72408	74222	1815	604		ATG		hypothetical protein - RAST_Product: Lmo0066 homolog within ESAT-6 gene cluster, similarity to ADP-ribosylating toxins	similar to toxin components	Lmo0066 homolog within ESAT-6 gene cluster, similarity to ADP-ribosylating toxins	Signal transduction mechanisms
lmo0067	+	NC_003210.1	74239	75228	990	329		ATG	Operon_012	hypothetical protein - RAST_Product: ADP-ribosylglycohydrolase	similar to dinitrogenase reductase ADP-ribosylation system	ADP-ribosylglycohydrolase	Posttranslational modification, protein turnover, chaperones
lmo0068	+	NC_003210.1	75342	75665	324	107		ATG	Operon_012	hypothetical protein - RAST_Product: FIG00774538: hypothetical protein	lmo0068	FIG00774538: hypothetical protein	Not in COGs
lmo0069	+	NC_003210.1	75832	76125	294	97		ATG	Operon_012	hypothetical protein	lmo0069	Lmo0069 homolog within ESAT-6 gene cluster	Not in COGs
lmo0070	+	NC_003210.1	76262	76984	723	240		GTG	Operon_013	hypothetical protein - RAST_Product: FIG00775182: hypothetical protein	lmo0070	FIG00775182: hypothetical protein	Not in COGs
lmo0071	+	NC_003210.1	77149	77406	258	85		TTG	Operon_013	hypothetical protein - RAST_Product: FIG00775814: hypothetical protein	lmo0071	FIG00775814: hypothetical protein	Not in COGs
lmo0072	+	NC_003210.1	77863	78066	204	67		GTG	Operon_013	hypothetical protein			Not in COGs
lmo0073	+	NC_003210.1	78090	78374	285	94		ATG	Operon_013	hypothetical protein - RAST_Product: FIG00775054: hypothetical protein	lmo0073	FIG00775054: hypothetical protein	Not in COGs
lmo0074	+	NC_003210.1	78362	78811	450	149		ATG	Operon_013	hypothetical protein	lmo0074	FIG00774981: hypothetical protein	Not in COGs
lmo0075	+	NC_003210.1	79047	79820	774	257		ATG		hypothetical protein - RAST_Product: Probable carboxyvinyl-carboxyphosphonate phosphorylmutase (EC 2.7.8.23)	similar to carboxyphosphonoenolpyruvate phosphonomutase	Probable carboxyvinyl-carboxyphosphonate phosphorylmutase (EC 2.7.8.23)	Carbohydrate transport and metabolism
lmo0076	+	NC_003210.1	79817	80869	1053	350		GTG		hypothetical protein - RAST_Product: ADA regulatory protein / Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)	similar to E. coli Ada protein (O6-methylguanine-DNA methyltransferase)	ADA regulatory protein / Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)	Replication, recombination and repair; Nucleotide transport and metabolism;
lmo0077	-	NC_003210.1	80892	81530	639	212		ATG		hypothetical protein - RAST_Product: FIG00774172: hypothetical protein		FIG00774172: hypothetical protein	Function unknown
lmo0078	+	NC_003210.1	81661	82617	957	318		ATG		hypothetical protein - RAST_Product: Glyoxylate reductase (EC 1.1.1.79) / Glyoxylate reductase (EC 1.1.1.26) / Hydroxypyruvate reductase (EC 1.1.1.81)	similar to phosphoglycerate dehydrogenase	Glyoxylate reductase (EC 1.1.1.79) / Glyoxylate reductase (EC 1.1.1.26) / Hydroxypyruvate reductase (EC 1.1.1.81)	Energy production and conversion; Coenzyme transport and metabolism; General function prediction only;
lmo0079	+	NC_003210.1	82959	84437	1479	492		GTG	Operon_014	hypothetical protein - RAST_Product: FIG00774616: hypothetical protein	lmo0079	FIG00774616: hypothetical protein	Posttranslational modification, protein turnover, chaperones
lmo0080	+	NC_003210.1	84451	84849	399	132		ATG	Operon_014	hypothetical protein - RAST_Product: Lmo0080 protein	lmo0080	Lmo0080 protein	Not in COGs
lmo0081	+	NC_003210.1	85025	85627	603	200		ATG	Operon_014	hypothetical protein - RAST_Product: hypothetical protein	lmo0081	hypothetical protein	Not in COGs
lmo0082	+	NC_003210.1	85902	86228	327	108		ATG	Operon_014	hypothetical protein	lmo0082		Not in COGs
lmo0083	-	NC_003210.1	86323	86691	369	122		ATG	Operon_015	hypothetical protein - RAST_Product: transcriptional regulator, MerR family	similar to transcription regulator (merR family)	transcriptional regulator, MerR family	Transcription
