Id	Name	From	To	Strand	Length	Synonim	TSS	First described in	Also described in
1	rli1	231884	231994	+	111	LhrC-1,	Yes	Christiansen et al. 2006	Wurtzel et al. 2012;Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;
2	rli2	232086	232197	+	112	LhrC-2,	Yes	Christiansen et al. 2006	Wurtzel et al. 2012;Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;
3	rli3	232289	232400	+	112	LhrC-3,	Yes	Christiansen et al. 2006	Wurtzel et al. 2012;Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;
4	rli4	232492	232605	+	114	LhrC-4,	Yes	Christiansen et al. 2006	Wurtzel et al. 2012;Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;
5	rli5	513584	513807	+	224	rliA,		Mandin et al. 2007	Toledo-Arana et al. 2009;Rfam 2012;
6	rli6	544238	544716	+	479	rliB,	Yes	Mandin et al. 2007	Wurtzel et al. 2012;Toledo-Arana et al. 2009;Rfam 2012;Oliver et al. 2009;
7	rli7	981621	981731	+	111	LhrC-5,	Yes	Christiansen et al. 2006	Wurtzel et al. 2012;Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;
8	rli8	1154414	1154674	+	261	rliC,		Mandin et al. 2007	Mraheil et al. 2011;Toledo-Arana et al. 2009;
9	rli9	1180826	1181254	+	429	rliH,		Mandin et al. 2007	Toledo-Arana et al. 2009;Rfam 2012;Oliver et al. 2009;
10	rli10	1359202	1359529	-	328	rliD,		Mandin et al. 2007	Toledo-Arana et al. 2009;Rfam 2012;
11	rli11	1399365	1399616	+	252	Rli11-sbrA, sbrA,	Yes	Nielsen et al. 2008	Wurtzel et al. 2012;Toledo-Arana et al. 2009;Mraheil et al. 2011;Rfam 2012;Oliver et al. 2009;
12	rli12	1546336	1546531	-	196	ssrS, ssrS-6S,	Yes	Mandin et al. 2007	Wurtzel et al. 2012;Toledo-Arana et al. 2009;Mraheil et al. 2011;
13	rli13	1584586	1584808	+	223	rliE,		Mandin et al. 2007	Toledo-Arana et al. 2009;Rfam 2012;
14	rli14	1859870	1860017	-	148	LhrB, LhrB-L20,	Yes	Christiansen et al. 2006	Wurtzel et al. 2012;Toledo-Arana et al. 2009;Mraheil et al. 2011;
15	rli15	1961807	1962188	-	382	RNaseP_bact_b, rnpB, rnpB-RNase P,	Yes	Mandin et al. 2007	Wurtzel et al. 2012;Toledo-Arana et al. 2009;Rfam 2012;Mraheil et al. 2011;
16	rli16	2106073	2106292	-	220	rliF,		Mandin et al. 2007	Toledo-Arana et al. 2009;Rfam 2012;
